,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,max_rand_eval,norm,num_evals,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,ww_maxdist,ww_softrank,xmax,xmin
21,66,Linear,0.052767697287138954,320,320,1.0,4.202049911401597,6.420707707353633,0.9057763128835908,True,33.728268,dense,6.601049193160224,2.9579575,1.5279942,esm.encoder.layer.3.attention.self.key,320,11.2944765,907.73145,320,39,0.5937381054403844,11.505748593724949,0.0,0.08730953232978936,1.0187058087244039,0,1.0069835286566136,0,1,0.5127383407044804,33.728268,26.913076,success,5.8076043128967285,0.0023172872606664896,,0,22.838598,0.32286477,33.728267669677734,6.945472717285156
22,67,Linear,0.10129421874661815,320,320,1.0,7.6593081895145225,9.217059115381385,0.8952530829332439,True,15.972763,dense,9.699888146246137,2.894554,1.2033801,esm.encoder.layer.3.attention.self.value,320,9.61875,784.42926,320,13,0.6387004010592453,9.952694538980325,0.0,0.09646488178111082,1.0347180913696299,0,1.0074825455565524,0,1,1.8469597797239905,15.972763,49.11043,success,3.996593952178955,0.001511107082478702,under-trained,0,6.4684362,0.59503335,15.972763061523438,10.479697227478027
23,71,Linear,0.05214084470505709,320,320,1.0,4.431320518747087,6.731705415714827,0.9125006816213047,True,33.04604,dense,6.755784315398139,2.8540196,1.5191195,esm.encoder.layer.3.attention.output.dense,320,8.819171,714.5287,320,38,0.6692128829890206,9.065094112581251,0.0,0.08029158855728322,1.0278850899133691,0,1.0074429357459433,0,1,0.5566336909062979,33.04604,21.62222,success,5.748568534851074,0.0008823053212836385,,1,24.212303,0.26731607,33.04603958129883,5.328442573547363
24,75,Linear,0.050535126243653194,320,1280,4.0,4.096020301501613,9.150441837594968,0.9657827790594496,True,171.38913,dense,9.16605197339296,3.5805752,2.2339835,esm.encoder.layer.3.intermediate.dense,320,26.722116,3806.9321,320,56,0.28992479751860756,26.95749444898758,2.9952771609986186,0.11207224799340018,1.0088083744049068,0,1.0035381006419917,0,1,0.41372311538269985,171.38913,22.212215,success,13.091567039489746,0.8792133927345276,,0,144.7839,0.15523286,171.38912963867188,18.494836807250977
25,77,Linear,0.05994118477012811,320,1280,4.0,3.931887331290498,8.988115441743211,0.961401874939665,True,193.17648,dense,9.017065558318173,3.551397,2.2859545,esm.encoder.layer.3.output.dense,320,24.656303,3559.566,320,71,0.2998296133932407,25.21087815653207,2.8012086840591177,0.12898228310333343,1.022492260269166,0,1.0036383608120565,0,1,0.3479510108666488,193.17648,18.426497,success,13.898794174194336,0.3098737895488739,,0,167.9126,0.13078134,193.17648315429688,14.891695022583008
26,83,Linear,0.06444515347828866,320,320,1.0,3.8142550408171783,6.569478082392345,0.8839642115390625,True,52.765354,dense,6.658433029532961,2.9694884,1.7223489,esm.encoder.layer.4.attention.self.query,320,11.3813505,932.15497,320,21,0.5859075961870494,11.822662555221864,0.0,0.132763011912494,1.0387750100097652,0,1.0072952359780047,0,1,0.6141207975931313,52.765354,17.666042,success,7.263976573944092,0.0003081585164181888,,1,41.200886,0.21916781,52.76535415649414,9.614315032958984
27,84,Linear,0.06140157452947792,320,320,1.0,4.092806212432512,6.803145811127234,0.8968424791803399,True,45.943092,dense,6.843138494287863,2.9222095,1.6622204,esm.encoder.layer.4.attention.self.key,320,10.417966,836.006,320,32,0.6186830163896533,10.61076796626944,0.0,0.11123525359702566,1.0185067163696302,0,1.0076544041399202,0,1,0.5467360614267277,45.943092,18.196554,success,6.778133392333984,0.0022362873423844576,,0,35.849285,0.21970241,45.943092346191406,6.966063499450684
28,85,Linear,0.06577111278688463,320,320,1.0,3.9947023150239276,5.85142566564023,0.8996840819261621,True,29.160587,dense,6.404994651391798,3.0299459,1.4647964,esm.encoder.layer.4.attention.self.value,320,13.103458,1071.3855,320,26,0.5465121673624426,13.558384871440017,0.0,0.09186351163393791,1.034718091369629,0,1.0061756862062108,0,1,0.5873094439118652,29.160587,36.740875,success,5.400054454803467,0.0020904375705868006,,0,15.771837,0.45913857,29.160587310791016,10.19251823425293
29,89,Linear,0.07168526937261965,320,320,1.0,5.835492547404396,7.96032047979263,0.9262043573619867,True,23.127113,dense,8.125497129986597,2.996546,1.3641214,esm.encoder.layer.4.attention.output.dense,320,12.3387785,992.0782,320,15,0.5679391813620416,12.581872043222093,0.0,0.03774376137408448,1.0197015623512269,0,1.007266679114252,0,1,1.248518807120487,23.127113,42.89676,success,4.809065818786621,0.0052471645176410675,,0,10.867314,0.53010505,23.127113342285156,10.031074523925781
30,93,Linear,0.03625314141523561,320,1280,4.0,4.4295860550134325,9.244384041053372,0.9715102102229202,True,122.16962,dense,9.284519060544842,3.5756118,2.0869634,esm.encoder.layer.4.intermediate.dense,320,26.364834,3763.6726,320,35,0.2915864006573221,26.638456633382017,2.959828514820223,0.09483195861594897,1.0103783512115478,0,1.0032993608332819,0,1,0.5797058492704381,122.16962,30.806944,success,11.0530366897583,0.7366716861724854,,0,96.12747,0.21316382,122.16961669921875,21.886632919311523
31,95,Linear,0.03884933584910555,320,1280,4.0,4.040372289054817,8.248080353176011,0.9740734805630644,True,110.00587,dense,8.572100008482172,3.6889613,2.041416,esm.encoder.layer.4.output.dense,320,34.051918,4886.088,320,49,0.25591280728775584,34.458756207193254,3.8287506896881394,0.08918787137952015,1.0119475839624403,0,1.0014990936776478,0,1,0.43433889843640244,110.00587,44.41661,success,10.488368034362793,0.34226277470588684,,0,75.46559,0.31398576,110.00586700439453,24.250272750854492
32,101,Linear,0.04513329212727979,320,320,1.0,4.024481444405877,6.246651211813443,0.8969993586612959,True,35.658485,dense,6.327680774995483,2.8711166,1.552163,esm.encoder.layer.5.attention.self.query,319,9.194791,743.21844,320,28,0.6561699193481473,9.425460635045212,0.0,0.1053842674201317,1.0250870373010648,0,1.0072507827451633,1,1,0.5715732676305268,35.658485,20.842682,success,5.97147274017334,0.0001576279610162601,,1,26.341215,0.2612918,35.658485412597656,6.624566078186035
33,102,Linear,0.03526540474402151,320,320,1.0,4.329122383643219,6.556562771806804,0.8998036979021099,True,32.698254,dense,6.589653490384309,2.8132608,1.5145247,esm.encoder.layer.5.attention.self.key,320,7.942921,650.5203,320,27,0.7013664682436613,8.247683074333723,0.0,0.09884178572315136,1.0383689609527587,0,1.0071194545083313,0,1,0.6406899014538737,32.698254,19.89465,success,5.718238830566406,0.0008468030137009919,,1,24.642506,0.2463663,32.6982536315918,5.84050989151001
34,103,Linear,0.08855210178009715,320,320,1.0,4.253796361723477,6.260840802957002,0.9067357206353877,True,29.636312,dense,6.750784770085261,3.0626378,1.4718243,esm.encoder.layer.5.attention.self.value,320,14.39515,1155.1482,320,26,0.5263261519493769,14.644367659487,0.0,0.07678137749959058,1.0173125708351136,0,1.007071407652263,0,1,0.638121966987893,29.636312,38.97746,success,5.443924427032471,0.0035624071024358273,,0,15.39739,0.48045525,29.63631248474121,10.890871047973633
35,107,Linear,0.06768449770801949,320,320,1.0,4.032163887270608,6.7561118442411185,0.9156466561870577,True,47.37561,dense,6.861923226742709,3.0970325,1.6755549,esm.encoder.layer.5.attention.output.dense,320,14.961394,1250.3522,320,40,0.5058932484502001,15.85394774253491,0.0,0.069442029834863,1.0596571220436108,0,1.0071579819203764,0,1,0.4794272061342577,47.37561,26.392319,success,6.882994174957275,0.006358740385621786,,0,32.465317,0.3147251,47.3756103515625,9.026737213134766
36,111,Linear,0.026919329315232,320,1280,4.0,4.930259918068168,10.387404643335643,0.9772211084249603,True,127.89905,dense,10.39901198330288,3.588518,2.1068676,esm.encoder.layer.5.intermediate.dense,320,26.827755,3877.1963,320,36,0.28728669677491686,27.425820140167218,3.0473133489074686,0.08241863120055219,1.0222927982339867,0,1.0030072415055402,0,1,0.655043319678028,127.89905,30.314505,success,11.309246063232422,0.6843149065971375,,0,100.91507,0.21097875,127.8990478515625,21.217466354370117
37,113,Linear,0.03741392090716933,320,1280,4.0,3.7574402606784516,8.216130741210877,0.9653983877061966,True,153.68434,dense,8.83116825208223,3.904536,2.1866298,esm.encoder.layer.5.output.dense,320,55.22354,8026.6787,320,66,0.19966633948596216,56.64202946210467,6.293558829122742,0.10894590744890134,1.0256862989654547,0,1.0018045497860961,0,1,0.33941743297335053,153.68434,52.228344,success,12.39694881439209,0.4252149164676666,,0,96.65764,0.37106386,153.68434143066406,37.11330032348633
38,121,Linear,0.07225588667978011,320,320,1.0,6.241521584771855,3.1140141430050146,0.9014876626885869,True,3.1544166,dense,3.216939946563144,2.0275042,0.49891907,lm_head.dense,320,1.3260316,106.53786,320,16,1.7330929954852778,1.3526848060694308,0.0,0.09140028404263699,1.0201,0,1.0078367192633264,0,1,1.3103803961929636,3.1544166,33.77419,success,1.7760677337646484,0.0011518722167238593,under-trained,0,1.8412603,0.41629133,3.154416561126709,1.3384430408477783
39,123,Linear,0.10329940867529941,97,320,3.2989690721649483,2.355082947478606,1.876692967131529,0.8874709503968486,True,6.264251,dense,2.4322487269931483,1.9109325,0.79686916,lm_head.decoder,97,2.039007,81.45776,97,35,1.091238436477666,2.0386087332216714,0.17126968810993676,0.1888842250551681,0.9998046970367434,0,1.0048374415947001,0,1,0.2290508237143206,6.264251,13.003592,success,2.5028486251831055,0.27417904138565063,,0,4.252185,0.32119823,6.264251232147217,0.7127052545547485
